SUBURB_NAME,SUBURB_NAME_ADJOINING
RIVERHILLS,MIDDLE PARK
RIVERHILLS,MOGGILL
RIVERHILLS,SUMNER
RIVERHILLS,WACOL
ROBERTSON,COOPERS PLAINS
ROBERTSON,MACGREGOR
ROBERTSON,SUNNYBANK
ROBERTSON,NATHAN
ROCHEDALE,EIGHT MILE PLAINS
ROCHEDALE,MACKENZIE
ROCHEDALE,BURBANK
ROCHEDALE,MANSFIELD
ROCHEDALE,WISHART
ROCKLEA,OXLEY
ROCKLEA,SALISBURY
ROCKLEA,YEERONGPILLY
ROCKLEA,ARCHERFIELD
ROCKLEA,COOPERS PLAINS
ROCKLEA,MOOROOKA
ROCKLEA,CORINDA
ROCKLEA,SHERWOOD
ROCKLEA,TENNYSON
ROCKLEA,WILLAWONG
RUNCORN,SUNNYBANK
RUNCORN,KURABY
RUNCORN,STRETTON
RUNCORN,SUNNYBANK HILLS
RUNCORN,CALAMVALE
RUNCORN,EIGHT MILE PLAINS
SALISBURY,NATHAN
SALISBURY,ROCKLEA
SALISBURY,TARRAGINDI
SALISBURY,MOOROOKA
SALISBURY,COOPERS PLAINS
SANDGATE,BOONDALL
SANDGATE,BRACKEN RIDGE
SANDGATE,BRIGHTON
